@relation dataTechnology

@attribute business {yes, no}
@attribute startup {yes, no}
@attribute marketing {yes, no}
@attribute leadership {yes, no}
@attribute news {yes, no}
@attribute technology {yes, no}
@attribute eco {yes, no}
@attribute iot {yes, no}
@attribute digital {yes, no}
@attribute life {yes, no}
@attribute entrepreneur {yes, no}
@attribute innovation {yes, no}
@attribute #ai {yes, no}
@attribute data {yes, no}
@attribute social {yes, no}

@data
no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes
yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no
no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
